Ward #,Ward Name,Constituency,Complaints,Constituency Level,Complaint Count
129,Jnana Bharathi Ward,RAJARAJESHWARI NAGAR,854,RAJARAJESHWARI NAGAR,1832
12,Shettihalli,DASARAHALLI,401,DASARAHALLI,1763
160,Rajarajeshwari Nagar,RAJARAJESHWARI NAGAR,383,BYATARAYANAPURA,1287
27,Banasavadi,SARVARGNA NAGAR,352,MAHADEVAPURA (SC),1246
41,Peenya Industrial Area,DASARAHALLI,344,SARVARGNA NAGAR,1052
24,HBR Layout,SARVARGNA NAGAR,332,BOMMANAHALLI,776
5,Jakkuru,BYATARAYANAPURA,325,BANGALORE SOUTH,706
70,Rajagopal Nagara,DASARAHALLI,302,K.R.PURA,643
174,HSR Layout,BOMMANAHALLI,263,C.V. RAMAN NAGAR (SC),613
150,Bellanduru,MAHADEVAPURA (SC),239,YESHVANTHAPURA,605
83,Kadugodi,MAHADEVAPURA (SC),223,BASAVANAGUDI,577
187,Puttenahalli,BOMMANAHALLI,205,HEBBAL,564
6,Thanisandra,BYATARAYANAPURA,201,PADMANABA NAGAR,542
57,CV Raman Nagar,C.V. RAMAN NAGAR (SC),201,SHIVAJI NAGAR,488
162,Girinagara,BASAVANAGUDI,190,PULAKESHI NAGAR (SC),408
194,Gottigere,BANGALORE SOUTH,187,CHAMARAJPET,396
9,Vidyaranyapura,BYATARAYANAPURA,181,MALLESWARAM,378
10,Dodda Bommasandra,BYATARAYANAPURA,180,SHANTI NAGAR,366
14,Bagalakunte,DASARAHALLI,180,RAJAJI NAGAR,353
149,Varthuru,MAHADEVAPURA (SC),175,YELAHANKA,302
39,Chokkasandra,DASARAHALLI,173,VIJAYA NAGAR,297
8,Kodigehalli,BYATARAYANAPURA,171,GANDHI NAGAR,277
198,Hemmigepura,YESHVANTHAPURA,169,B.T.M. LAYOUT,272
73,Kottegepalya,RAJARAJESHWARI NAGAR,165,MAHALAXMI LAYOUT,233
13,Mallasandra,DASARAHALLI,162,CHICKPET,174
82,Garudachar Palya,MAHADEVAPURA (SC),158,GOVINDRAJA NAGAR,164
185,Yelchenahalli,BANGALORE SOUTH,158,JAYANAGAR,123
54,Hudi,MAHADEVAPURA (SC),157,ANEKAL (SC),108
23,Nagavara,SARVARGNA NAGAR,152,,
72,Herohalli,YESHVANTHAPURA,152,,
159,Kengeri,YESHVANTHAPURA,148,,
53,Basavanapura,K.R.PURA,140,,
192,Begur,BANGALORE SOUTH,137,,
4,Yelahanka Satellite Town,YELAHANKA,136,,
59,Maruthi Seva Nagar,SARVARGNA NAGAR,136,,
93,Vasanth Nagar,SHIVAJI NAGAR,136,,
63,Jayamahal,SHIVAJI NAGAR,126,,
16,Jalahalli,RAJARAJESHWARI NAGAR,125,,
38,HMT Ward,RAJARAJESHWARI NAGAR,124,,
71,Hegganahalli,DASARAHALLI,121,,
11,Kuvempu Nagar,BYATARAYANAPURA,120,,
85,Dodda Nekkundi,MAHADEVAPURA (SC),120,,
81,Vijnana Nagar,K.R.PURA,119,,
20,Ganga Nagar,HEBBAL,118,,
130,Ullalu,YESHVANTHAPURA,116,,
84,Hagadur,MAHADEVAPURA (SC),114,,
163,Katriguppe,BASAVANAGUDI,114,,
7,Byatarayanapura,BYATARAYANAPURA,109,,
161,Hosakerehalli,PADMANABA NAGAR,109,,
191,Singasandra,ANEKAL (SC),108,,
181,Kumaraswamy Layout,PADMANABA NAGAR,107,,
183,Chikkalsandra,PADMANABA NAGAR,106,,
32,Kaval Bairasandra,PULAKESHI NAGAR (SC),104,,
58,New Tippasandra,C.V. RAMAN NAGAR (SC),98,,
26,Ramamurthy Nagar,K.R.PURA,94,,
62,Ramaswamy Palya,SHIVAJI NAGAR,94,,
146,Lakkasandra,B.T.M. LAYOUT,90,,
35,Aramane Nagar,MALLESWARAM,89,,
182,Padmanabha Nagar,PADMANABA NAGAR,86,,
155,Hanumanth Nagar,BASAVANAGUDI,85,,
19,Sanjay Nagar,HEBBAL,84,,
3,Atturu,YELAHANKA,82,,
21,Hebbal,HEBBAL,82,,
50,Benniganahalli,C.V. RAMAN NAGAR (SC),82,,
197,Vasanthpura,BANGALORE SOUTH,82,,
89,Jogapalya,SHANTI NAGAR,81,,
100,Basaveshwara Nagar,RAJAJI NAGAR,81,,
142,Sunkenahalli,CHICKPET,81,,
15,T Dasarahalli,DASARAHALLI,80,,
46,Jayachamrajendra Nagar,HEBBAL,80,,
154,Basavanagudi,BASAVANAGUDI,80,,
80,Hoysala Nagar,C.V. RAMAN NAGAR (SC),79,,
188,Bilekhali,BOMMANAHALLI,79,,
140,Chamrajapet,CHAMARAJPET,77,,
60,Sagayarapura,PULAKESHI NAGAR (SC),75,,
176,B T M Layout,B.T.M. LAYOUT,75,,
112,Domlur,SHANTI NAGAR,74,,
156,Srinagara,BASAVANAGUDI,74,,
31,Kushal Nagar,PULAKESHI NAGAR (SC),72,,
42,Lakshmi Devi Nagar,RAJARAJESHWARI NAGAR,71,,
79,Sarvagna Nagar,C.V. RAMAN NAGAR (SC),70,,
96,Okalipura,GANDHI NAGAR,68,,
157,Gali Anjaneya Temple,VIJAYA NAGAR,68,,
136,Jagajivanram Nagar,CHAMARAJPET,67,,
51,Vijnanapura,K.R.PURA,65,,
193,Arakere,BOMMANAHALLI,65,,
189,Hongasandra,BOMMANAHALLI,64,,
98,Prakash Nagar,RAJAJI NAGAR,62,,
111,Shantala Nagar,SHANTI NAGAR,61,,
137,Rayapura,CHAMARAJPET,61,,
64,Rajamahal Guttahalli,MALLESWARAM,60,,
86,Marattahalli,MAHADEVAPURA (SC),60,,
141,Azad Nagar,CHAMARAJPET,60,,
190,Mangammanapalya,BOMMANAHALLI,60,,
36,Mattikere,MALLESWARAM,59,,
22,Vishwanatha Nagenahalli,HEBBAL,58,,
25,Horamavu,K.R.PURA,58,,
34,Gangenahalli,HEBBAL,58,,
66,Subramanya Nagar,MALLESWARAM,58,,
135,Padarayanapura,CHAMARAJPET,58,,
18,Radhakrishna Temple,HEBBAL,56,,
75,Shankar Mutt,MAHALAXMI LAYOUT,56,,
48,Muneshwara Nagar,PULAKESHI NAGAR (SC),55,,
56,A Narayanapura,K.R.PURA,55,,
67,Nagapura,MAHALAXMI LAYOUT,55,,
76,Gayithri Nagar,MALLESWARAM,55,,
121,Binnipete,GANDHI NAGAR,55,,
61,S K Garden,PULAKESHI NAGAR (SC),53,,
90,Halsoor,SHIVAJI NAGAR,53,,
195,Konanakunte,BANGALORE SOUTH,53,,
52,K R Pura,K.R.PURA,52,,
101,Kamakshipalya,RAJAJI NAGAR,52,,
165,Ganesh Mandiara Ward,PADMANABA NAGAR,52,,
2,Chowdeshwari Ward,YELAHANKA,51,,
77,Dattatreya Temple,GANDHI NAGAR,51,,
